epoch,batch_step,example_num,eval_split,MSE,SSIM,CUSTOM
104,58032,58032,training set,52.363001613062806,0.8702348306615022,263.88861083984375
104,58032,58032,test set,52.43624285722035,0.8682308868083055,265.7842712402344
105,58590,58590,training set,53.15598992128798,0.8639128140639514,268.080078125
105,58590,58590,test set,54.7674896979006,0.8603676658822224,276.39117431640625
106,59148,59148,training set,52.11873386573279,0.8836415256810142,260.27447509765625
106,59148,59148,test set,54.115479840518674,0.8809898448744207,259.94915771484375
107,59706,59706,training set,53.53257463191403,0.8738827553534065,267.30816650390625
107,59706,59706,test set,51.818644401821075,0.8752732646826189,274.3145751953125
108,60264,60264,training set,51.43630754195328,0.883009898578166,258.9046630859375
108,60264,60264,test set,53.74513626715634,0.8796125016160659,268.04248046875
109,60822,60822,training set,53.13635611207428,0.8804073810315458,269.7119445800781
109,60822,60822,test set,54.01139809994493,0.8779525213321904,267.625244140625
110,61380,61380,training set,52.28243920466048,0.8649949140781246,264.7599182128906
110,61380,61380,test set,53.18002308429277,0.8609705144181135,266.12994384765625
111,61938,61938,training set,54.9592924520839,0.8703251922561321,268.3428649902344
111,61938,61938,test set,58.709587580524385,0.8678641913866159,272.8927307128906
112,62496,62496,training set,50.97282828472089,0.8813077635932132,262.3110046386719
112,62496,62496,test set,49.27436307093012,0.8820709162537241,257.7071228027344
113,63054,63054,training set,60.97424308833433,0.8523079555598088,295.1535949707031
113,63054,63054,test set,58.83852278714767,0.8531569485057844,287.9181213378906
114,63612,63612,training set,50.11084708789713,0.8775519939081278,266.69219970703125
114,63612,63612,test set,55.713981066131964,0.8731869366019964,278.4231872558594
115,64170,64170,training set,53.45304288790794,0.872218251839513,265.63409423828125
115,64170,64170,test set,53.75700870962464,0.872498966549756,264.47247314453125
116,64728,64728,training set,58.08818154220353,0.8676858344770153,274.45770263671875
116,64728,64728,test set,56.080215078400215,0.8670808572060196,270.5315246582031
117,65286,65286,training set,53.83583566971356,0.8561114887925214,276.62945556640625
117,65286,65286,test set,55.1405340366764,0.8544407170120394,280.39715576171875
118,65844,65844,training set,55.13963631246588,0.8785799950564979,260.5392761230469
118,65844,65844,test set,53.98993218902615,0.8781539493211312,259.388427734375
119,66402,66402,training set,51.27177357531036,0.8596049932393726,258.10906982421875
119,66402,66402,test set,56.34676419000607,0.8572684599116656,267.0247497558594
120,66960,66960,training set,52.48268255771836,0.877810610429151,262.268310546875
120,66960,66960,test set,51.206422705959994,0.8796081562468316,264.962890625
121,67518,67518,training set,53.51857583850506,0.8660307487698446,267.7571716308594
121,67518,67518,test set,56.99615650821943,0.8653412067360478,267.0120849609375
122,68076,68076,training set,51.404694077471504,0.8777478501360747,265.8635559082031
122,68076,68076,test set,54.982968320080545,0.8752758748632914,268.4373779296875
123,68634,68634,training set,54.30356501752976,0.8554033919936046,272.5691833496094
123,68634,68634,test set,51.031224900245434,0.8565407042988227,269.4538269042969
124,69192,69192,training set,51.32930762981414,0.8833986779191036,261.8678894042969
124,69192,69192,test set,54.87187172585982,0.878335925052852,263.8373107910156
125,69750,69750,training set,55.37148614204489,0.8759781862027012,267.97430419921875
125,69750,69750,test set,52.5391639485606,0.8768500854203012,261.76898193359375
126,70308,70308,training set,53.747284080600366,0.8823906472825911,261.5418701171875
126,70308,70308,test set,52.21019662631443,0.8841530984573183,257.81719970703125
127,70866,70866,training set,54.56961888473597,0.8753034705441678,269.5898742675781
127,70866,70866,test set,52.27657766424818,0.8784649649751373,263.556640625
128,71424,71424,training set,50.3635667131166,0.8823208386893384,257.8663635253906
128,71424,71424,test set,56.08218715363182,0.8795756288309349,265.0836486816406
129,71982,71982,training set,56.25804794265423,0.8461540666103247,279.0417785644531
129,71982,71982,test set,53.67554568685591,0.8465127352319541,279.4577331542969
130,72540,72540,training set,47.905557432211936,0.8758852416322043,259.59051513671875
130,72540,72540,test set,51.97457822528668,0.8734142318462546,259.6870422363281
131,73098,73098,training set,56.44910015305504,0.8829815047065495,257.3778381347656
131,73098,73098,test set,55.36967293318594,0.8813142951330519,258.1481628417969
132,73656,73656,training set,52.40292005610536,0.85417849304622,258.4537658691406
132,73656,73656,test set,57.09316584531916,0.8508400219388932,272.03704833984375
133,74214,74214,training set,52.37217716497253,0.8643725251022261,268.69769287109375
133,74214,74214,test set,57.39467107746168,0.8633467541949358,271.06390380859375
134,74772,74772,training set,52.11696506279986,0.8745350141980452,256.0447082519531
134,74772,74772,test set,53.95518005016493,0.8737377769430168,263.74444580078125
135,75330,75330,training set,50.91043414537853,0.8733659222634742,261.4600830078125
135,75330,75330,test set,52.46652718546102,0.876042588497512,261.72393798828125
136,75888,75888,training set,53.71822437969968,0.8763806938368361,261.0983581542969
136,75888,75888,test set,55.94114798636292,0.8722088552858622,264.32867431640625
137,76446,76446,training set,50.526105975324754,0.8840364652423887,255.5343017578125
137,76446,76446,test set,52.056821598351235,0.8830470661778236,255.6021270751953
138,77004,77004,training set,55.06181585273589,0.8743908481046674,269.2545471191406
138,77004,77004,test set,56.61270134799997,0.8692980379346409,263.5993347167969
139,77562,77562,training set,53.775927957263775,0.884198241874401,256.5758056640625
139,77562,77562,test set,52.30168916413095,0.8832523439459692,254.94717407226562
140,78120,78120,training set,49.33145649063954,0.8827067435631761,259.5888366699219
140,78120,78120,test set,53.248561967600835,0.8802582010539481,259.8647155761719
141,78678,78678,training set,52.141896461631404,0.8758543889562134,261.4370422363281
141,78678,78678,test set,51.62981779896654,0.8786834442289546,260.7818603515625
142,79236,79236,training set,54.213958156411536,0.8828020691362326,259.93267822265625
142,79236,79236,test set,54.89973860126338,0.8803362713879324,258.5674743652344
143,79794,79794,training set,56.42702695063781,0.8570154894841835,272.1092834472656
143,79794,79794,test set,53.914816839882405,0.8592013806337491,267.4442138671875
144,80352,80352,training set,48.77528063944192,0.8730569006147562,260.89776611328125
144,80352,80352,test set,49.98531556437956,0.875881294690771,259.7257080078125
145,80910,80910,training set,51.27685978470254,0.8704187331254616,260.03778076171875
145,80910,80910,test set,50.79649047314888,0.8696095080813393,257.3330993652344
146,81468,81468,training set,52.95040994233568,0.8718615089371724,258.4881896972656
146,81468,81468,test set,52.588481757440604,0.8710224672383902,260.7652893066406
147,82026,82026,training set,49.46515747840749,0.8831703323521651,259.4271240234375
147,82026,82026,test set,51.67806193517754,0.8813806335674599,261.3011474609375
148,82584,82584,training set,50.07274343103927,0.8823655906235217,256.75897216796875
148,82584,82584,test set,52.20377294185164,0.8835898205943522,255.61685180664062
149,83142,83142,training set,52.167063524488185,0.8850613544182124,253.01260375976562
149,83142,83142,test set,50.15763278972008,0.8853132107597048,250.51992797851562
150,83700,83700,training set,61.50360124830331,0.8738248936424498,261.4294128417969
150,83700,83700,test set,58.35206516791368,0.8765069630462676,257.42144775390625
151,84258,84258,training set,55.87376608084014,0.8747466759887175,258.8404235839844
151,84258,84258,test set,56.21344096396933,0.8751979097069125,265.55120849609375
152,84816,84816,training set,52.890204156399705,0.8838694128135103,260.28765869140625
152,84816,84816,test set,51.68769229593454,0.8850548015907407,254.28602600097656
153,85374,85374,training set,49.637325997900916,0.8692394152167253,257.4920654296875
153,85374,85374,test set,49.970495004236,0.8689775885359268,262.0812683105469
154,85932,85932,training set,51.76112972685951,0.8666292656498626,258.4176330566406
154,85932,85932,test set,48.261014424977475,0.8668033343583375,260.2069091796875
155,86490,86490,training set,51.41619480994996,0.874024945369456,264.02374267578125
155,86490,86490,test set,54.11863653402543,0.872210317014833,260.65216064453125
156,87048,87048,training set,56.14030914689647,0.877123015212419,265.4053649902344
156,87048,87048,test set,54.28350937512005,0.8762329661403783,273.0178527832031
157,87606,87606,training set,51.19657523254864,0.8643136459868401,263.9880676269531
157,87606,87606,test set,53.798139079182874,0.8652846138829773,273.1387634277344
158,88164,88164,training set,52.25363231374649,0.8753638776397565,264.60125732421875
158,88164,88164,test set,55.106346100074006,0.8746334693569224,268.05126953125
159,88722,88722,training set,49.92536438663956,0.8804451493124361,257.68994140625
159,88722,88722,test set,51.31338284484809,0.8793885452323593,259.92254638671875
160,89280,89280,training set,53.53520689992001,0.8849882394861197,262.22216796875
160,89280,89280,test set,53.359610444284044,0.8861404880444752,259.7210388183594
161,89838,89838,training set,48.660963172471384,0.8663663963307044,261.5800476074219
161,89838,89838,test set,54.15002858720254,0.8602793994941749,268.00018310546875
162,90396,90396,training set,54.34314776316751,0.8796059543747106,266.1814270019531
162,90396,90396,test set,54.219004675134784,0.8783835826907307,266.7229919433594
163,90954,90954,training set,57.21900673554046,0.8485680973972194,277.2145690917969
163,90954,90954,test set,55.410253053414635,0.8511129621729197,275.9246520996094
164,91512,91512,training set,56.02717153201229,0.8810890977911185,257.6737976074219
164,91512,91512,test set,55.52266516329837,0.8811709825968137,263.68182373046875
165,92070,92070,training set,51.82510457446915,0.8766272425491479,254.41287231445312
165,92070,92070,test set,51.43024182456429,0.8737163821497234,255.33294677734375
166,92628,92628,training set,52.07019533473067,0.8713581780393724,256.57611083984375
166,92628,92628,test set,55.38725376345974,0.8655268458478531,266.89306640625
167,93186,93186,training set,51.02000402181875,0.881454275950091,254.8711395263672
167,93186,93186,test set,49.35503350198269,0.883284506664495,248.42251586914062
168,93744,93744,training set,54.202954384236364,0.8712412951281294,272.3623352050781
168,93744,93744,test set,56.17785142711364,0.8713566866354086,272.03143310546875
169,94302,94302,training set,53.72534358194389,0.8741186571278377,265.4731750488281
169,94302,94302,test set,55.04205076198559,0.8735564036833239,266.8636169433594
170,94860,94860,training set,52.55028838315047,0.8728052187689173,257.80047607421875
170,94860,94860,test set,53.32067179150181,0.8702305354272539,254.63681030273438
171,95418,95418,training set,54.00825526813787,0.8811311964236666,260.50311279296875
171,95418,95418,test set,51.1450678582587,0.8828847835684428,256.6461486816406
172,95976,95976,training set,51.29688812777749,0.8850516289312509,259.4249572753906
172,95976,95976,test set,54.7730170172581,0.8837940225639613,259.20635986328125
173,96534,96534,training set,58.566781810543034,0.8614155796760841,261.6565246582031
173,96534,96534,test set,55.94598391267937,0.8616980998442614,262.6501770019531
174,97092,97092,training set,53.57490105033503,0.8822267793802894,255.94296264648438
174,97092,97092,test set,57.11320752205211,0.8796738878227188,262.35516357421875
175,97650,97650,training set,54.753904668694304,0.8819818333695366,254.72584533691406
175,97650,97650,test set,50.39550076107116,0.8859058269758862,250.44775390625
176,98208,98208,training set,52.139832070999546,0.8754223801370244,249.13961791992188
176,98208,98208,test set,56.116801758354995,0.8763159869231458,252.82937622070312
177,98766,98766,training set,53.72957045030489,0.8771117265205248,255.17115783691406
177,98766,98766,test set,52.693575191748096,0.8748580906722054,257.2486572265625
178,99324,99324,training set,51.77568538294872,0.8824717926909216,260.779296875
178,99324,99324,test set,53.83412963110459,0.880564798368141,261.236572265625
179,99882,99882,training set,51.616331389406696,0.8650845231091466,257.1354064941406
179,99882,99882,test set,52.262084702786524,0.8680347182658465,261.5711975097656
180,100440,100440,training set,53.43812419066671,0.8783586476929486,258.24774169921875
180,100440,100440,test set,54.23701709497254,0.8778816790618293,260.4335632324219
181,100998,100998,training set,49.5648869657889,0.8663887819857337,265.17633056640625
181,100998,100998,test set,55.79890053195413,0.8652934798810747,274.92034912109375
182,101556,101556,training set,52.253125545335934,0.8854847116454039,254.82296752929688
182,101556,101556,test set,50.269553048419766,0.885490770022443,248.5933380126953
183,102114,102114,training set,52.06314529769588,0.8788354691278073,251.49827575683594
183,102114,102114,test set,51.363600216340274,0.8779167535540182,253.48684692382812
184,102672,102672,training set,54.75253173484816,0.8737039198185812,257.3353576660156
184,102672,102672,test set,52.2325992247861,0.8798180738485826,251.3900604248047
185,103230,103230,training set,49.89211726968642,0.8765359041208285,261.7501220703125
185,103230,103230,test set,52.11000228533521,0.8758425693958998,264.1895446777344
186,103788,103788,training set,61.01678172004176,0.8239616971368378,292.48956298828125
186,103788,103788,test set,58.74987403329578,0.8236166143760784,294.6400146484375
187,104346,104346,training set,50.644218944362365,0.8765676679795433,247.16647338867188
187,104346,104346,test set,54.11305398878176,0.8737033051984326,257.1320495605469
188,104904,104904,training set,50.73345644958317,0.8814608030588715,259.00927734375
188,104904,104904,test set,53.83374666632153,0.8834281212475616,257.4198913574219
189,105462,105462,training set,48.76765065849759,0.874632300248777,258.85113525390625
189,105462,105462,test set,51.944511189474724,0.8695310016355506,254.48394775390625
190,106020,106020,training set,54.23914400488138,0.8852933822927298,248.04083251953125
190,106020,106020,test set,51.968099755235016,0.8874233575379549,241.45042419433594
191,106578,106578,training set,53.0845209901745,0.8701699474149791,263.37872314453125
191,106578,106578,test set,50.02490710851271,0.8708951847329445,253.92196655273438
192,107136,107136,training set,50.8224946889095,0.8644740778472624,272.06591796875
192,107136,107136,test set,55.479280059749726,0.8602032241942652,270.5682678222656
193,107694,107694,training set,52.71960837978986,0.8851302529074019,250.65187072753906
193,107694,107694,test set,48.800079144974006,0.886294907068077,251.01412963867188
194,108252,108252,training set,56.47345375493751,0.8516039377927882,278.46649169921875
194,108252,108252,test set,50.97345424245577,0.8544792187567509,276.5826110839844
